model,MSE,RMSE,MAE,R2,fold
LinearRegression,810933179.236453,28476.888510447432,19179.3919788455,0.8745425449449106,1
LinearRegression,1216050882.0944266,34871.92111275814,18449.474163435047,0.7922459449986039,2
LinearRegression,1290764560.1240695,35927.21197259912,18966.871349971025,0.8083466647282032,3
LinearRegression,661766919.824063,25724.830802632365,17956.76912573834,0.8787526177847484,4
LinearRegression,1526564625.2925067,39071.27621786248,20290.412458736657,0.7106219408343402,5
RandomForest,704810721.5281974,26548.271535604676,17202.555042735043,0.8909604864093417,1
RandomForest,1104849760.7623825,33239.28038875665,18828.595341880344,0.8112439032399932,2
RandomForest,1380694096.1837425,37157.69228818903,19887.007393162396,0.7949938844786237,3
RandomForest,706118551.8480833,26572.891296358463,17696.081373390556,0.8706266158363339,4
RandomForest,741821469.678988,27236.39971947445,17428.801888412017,0.8593791225170108,5
